Model,MSE,RMSE,MAE,R2_Score,Accuracy_Percent,Train_R2
Linear Regression,0.06313873246126747,0.25127421766123853,0.20128067778731765,0.9592285180275046,95.92285180275046,0.9592787391073175
Gradient Boosting,0.1772008330798053,0.42095229311622157,0.37328375676077385,0.8855735569944095,88.55735569944095,0.9999999903526732
Random Forest,0.17898264305197997,0.4230634031111412,0.3526122434078781,0.8844229632094694,88.44229632094695,0.9834254350488463
Decision Tree,0.1903679986929604,0.4363118136069208,0.4037807336866899,0.8770709337313445,87.70709337313446,1.0
Support Vector Machine,0.6274258943470424,0.7921021994332818,0.7319172040709503,0.5948432516262505,59.484325162625055,0.6836269103419474
